f,Re,Im,,,,,,,,,,,,,,,
200,1.2,-4.7000,,,,,,,,,,,,,,,
220,1.15,-4.2000,,,,,,,,,,,,,,,
240,1.1,-3.8000,,,,,,,,,,,,,,,
260,1.08,-3.4500,,,,,,,,,,,,,,,
280,1.07,-3.1500,,,,,,,,,,,,,,,
300,1.05,-2.9000,,,,,,,,,,,,,,,
320,1.03,-2.7000,,,,,,,,,,,,,,,
340,1.01,-2.5500,,,,,,,,,,,,,,,
360,0.99,-2.4000,,,,,,,,,,,,,,,
380,0.97,-2.3000,,,,,,,,,,,,,,,0.012
400,0.95,-2.1500,,,,,,,,,,,,,,,
420,0.93,-2.0500,,,,,,,,,,,,,,,
440,0.91,-1.9500,,,,,,,,,,,,,,,
460,0.89,-1.9000,,,,,,,,,,,,,,,
480,0.87,-1.8500,,,,,,,,,,,,,,,
500,0.85,-1.8000,,,,,,,,,,,,,,,
520,0.7,-1.8000,,,,,,,,,,,,,,,
540,0.5,-1.5500,,,,,,,,,,,,,,,
560,0.7,-1.2000,,,,,,,,,,,,,,,
580,0.8,-1.1500,,,,,,,,,,,,,,,
600,0.9,-1.1300,,,,,,,,,,,,,,,
620,0.925,-1.1040,,,,,,,,,,,,,,,
640,0.95,-1.0780,,,,,,,,,,,,,,,
660,0.96,-1.0520,,,,,,,,,,,,,,,
680,0.965,-1.0260,,,,,,,,,,,,,,,
700,0.97,-1.0000,,,,,,,,,,,,,,,
720,0.976,-0.9700,,,,,,,,,,,,,,,
740,0.982,-0.9400,,,,,,,,,,,,,,,
760,0.988,-0.9100,,,,,,,,,,,,,,,
780,0.994,-0.8800,,,,,,,,,,,,,,,
800,1,-0.8500,,,,,,,,,,,,,,,
820,1.01,-0.8200,,,,,,,,,,,,,,,
840,1.02,-0.7900,,,,,,,,,,,,,,,
860,1.03,-0.7600,,,,,,,,,,,,,,,
880,1.04,-0.7300,,,,,,,,,,,,,,,
900,1.05,-0.7000,,,,,,,,,,,,,,,
920,1.06,-0.6760,,,,,,,,,,,,,,,
940,1.07,-0.6520,,,,,,,,,,,,,,,
960,1.08,-0.6280,,,,,,,,,,,,,,,
980,1.09,-0.6040,,,,,,,,,,,,,,,
1000,1.1,-0.5800,,,,,,,,,,,,,,,
1020,1.105,-0.5640,,,,,,,,,,,,,,,
1040,1.11,-0.5480,,,,,,,,,,,,,,,
1060,1.115,-0.5320,,,,,,,,,,,,,,,
1080,1.12,-0.5160,,,,,,,,,,,,,,,
1100,1.125,-0.5000,,,,,,,,,,,,,,,
1120,1.13,-0.4800,,,,,,,,,,,,,,,
1140,1.135,-0.4600,,,,,,,,,,,,,,,
1160,1.14,-0.4400,,,,,,,,,,,,,,,
1180,1.145,-0.4200,,,,,,,,,,,,,,,
1200,1.15,-0.4000,,,,,,,,,,,,,,,
1220,1.14,-0.3900,,,,,,,,,,,,,,,
1240,1.13,-0.3800,,,,,,,,,,,,,,,
1260,1.12,-0.3700,,,,,,,,,,,,,,,
1280,1.1,-0.3600,,,,,,,,,,,,,,,
1300,1.1,-0.3500,,,,,,,,,,,,,,,
1320,1.13,-0.2350,,,,,,,,,,,,,,,
1340,1.16,-0.2263,,,,,,,,,,,,,,,
1360,1.19,-0.2175,,,,,,,,,,,,,,,
1380,1.22,-0.2088,,,,,,,,,,,,,,,
1400,1.25,-0.2000,,,,,,,,,,,,,,,
1420,1.26,-0.1950,,,,,,,,,,,,,,,
1440,1.27,-0.1900,,,,,,,,,,,,,,,
1460,1.28,-0.1850,,,,,,,,,,,,,,,
1480,1.29,-0.1800,,,,,,,,,,,,,,,
1500,1.3,-0.1750,,,,,,,,,,,,,,,
1520,1.31,-0.1700,,,,,,,,,,,,,,,
1540,1.32,-0.1650,,,,,,,,,,,,,,,
1560,1.33,-0.1600,,,,,,,,,,,,,,,
1580,1.34,-0.1550,,,,,,,,,,,,,,,
1600,1.35,-0.1500,,,,,,,,,,,,,,,
