f,Re,Im,,,
200,1.8,-6.5000,-0.0200,0.4800,-6.0200
220,1.5,-5.6000,,,
240,1.6,-5.1000,,,
260,1.8,-4.9000,,,
280,1.7,-4.4000,,,
300,1.7,-4.1000,0.0000,0.1800,-3.9200
320,1.7,-3.9200,,,
340,1.7,-3.7400,,,
360,1.7,-3.5600,,,
380,1.7,-3.3800,,,
400,1.7,-3.2000,0.0000,0.1400,-3.0600
420,1.7,-3.0600,,,
440,1.7,-2.9200,,,
460,1.7,-2.7800,,,
480,1.7,-2.6400,,,
500,1.7,-2.5000,0.0000,0.0800,-2.4200
520,1.7,-2.4200,,,
540,1.7,-2.3400,,,
560,1.7,-2.2600,,,
580,1.7,-2.1800,,,
600,1.7,-2.1000,0.0000,0.0600,-2.0400
620,1.7,-2.0400,,,
640,1.7,-1.9800,,,
660,1.7,-1.9200,,,
680,1.7,-1.8600,,,
700,1.7,-1.8000,0.0000,0.0400,-1.7600
720,1.7,-1.7600,,,
740,1.7,-1.7200,,,
760,1.7,-1.6800,,,
780,1.7,-1.6400,,,
800,1.7,-1.6000,0.0000,0.0400,-1.5600
820,1.7,-1.5600,,,
840,1.7,-1.5200,,,
860,1.7,-1.4800,,,
880,1.7,-1.4400,,,
900,1.7,-1.4000,0.0000,0.0200,-1.3800
920,1.7,-1.3800,,,
940,1.7,-1.3600,,,
960,1.7,-1.3400,,,
980,1.7,-1.3200,,,
1000,1.7,-1.3000,0.0000,0.0200,-1.2800
1020,1.7,-1.2800,,,
1040,1.7,-1.2600,,,
1060,1.7,-1.2400,,,
1080,1.7,-1.2200,,,
1100,1.7,-1.2000,0.0000,0.0200,-1.1800
1120,1.7,-1.1800,,,
1140,1.7,-1.1600,,,
1160,1.7,-1.1400,,,
1180,1.7,-1.1200,,,
1200,1.7,-1.1000,0.0000,0.0100,-1.0900
1220,1.7,-1.0900,,,
1240,1.7,-1.0800,,,
1260,1.7,-1.0700,,,
1280,1.7,-1.0600,,,
1300,1.7,-1.0500,0.0000,0.0100,-1.0400
1320,1.7,-1.0400,,,
1340,1.7,-1.0300,,,
1360,1.7,-1.0200,,,
1380,1.7,-1.0100,,,
1400,1.7,-1.0000,0.0000,0.0200,-0.9800
1420,1.7,-0.9800,,,
1440,1.7,-0.9600,,,
1460,1.7,-0.9400,,,
1480,1.7,-0.9200,,,
1500,1.7,-0.9000,0.0000,0.0000,-0.9000
1520,1.7,-0.9000,,,
1540,1.7,-0.9000,,,
1560,1.7,-0.9000,,,
1580,1.7,-0.9000,,,
1600,1.7,-0.9000,-0.3400,0.1800,
