f,Re,Im,,,
200,1,-7.0000,,,
220,2.2,-7.0000,,,
240,1.3,-7.0000,,,
260,1.6,-7.0000,,,
280,1.7,-7.0000,,,
300,1.1,-7.0000,,,
320,1.25,-7.0000,,,
340,1.1,-7.0000,,,
360,1.25,-6.5500,,,
380,1.25,-6.5500,,,
400,1.3,-6.6000,,,
420,1.3,-5.9000,,,
440,1.15,-5.6000,,,
460,1.15,-5.4000,,,
480,1.1,-5.1000,,,
500,1.15,-5.0000,,,
520,1.2,-4.8000,,,
540,1.1,-4.6000,,,
560,1.15,-4.4000,,,
580,1.08,-4.2000,,,
600,1.08,-4.0000,,,
620,1.1,-3.8800,,,
640,1.1,-3.7600,,,
660,1.1,-3.6400,,,
680,1.1,-3.5200,,,
700,1.1,-3.4000,,,
720,1.15,-3.3100,,,
740,1.1,-3.2200,,,
760,1.1,-3.1300,,,
780,1.08,-3.0400,,,
800,1.05,-2.9500,,,
820,1.05,-2.8800,,,
840,1.05,-2.8100,,,
860,1.04,-2.7400,,,
880,1.04,-2.6700,,,
900,1.04,-2.6000,,,
920,1.04,-2.5400,,,
940,1.04,-2.4800,,,
960,1.04,-2.4200,,,
980,1.04,-2.3600,,,
1000,1.04,-2.3000,,,
1020,1.04,-2.2500,,,
1040,1.04,-2.2000,,,
1060,1.04,-2.1500,,,
1080,1.04,-2.1000,,,
1100,1.04,-2.0500,,,
1120,1.04,-2.0100,,,
1140,1.04,-1.9700,,,
1160,1.04,-1.9300,,,
1180,1.04,-1.8900,,,
1200,1.04,-1.8500,0.0000,0.0300,
1220,1.04,-1.8200,,,
1240,1.04,-1.7900,,,
1260,1.04,-1.7600,,,
1280,1.04,-1.7300,,,
1300,1.04,-1.7000,0.0000,0.0300,
1320,1.04,-1.6700,,-0.03,-1.6400
1340,1.04,-1.6400,,0.0300,
1360,1.04,-1.6100,,,
1380,1.04,-1.5800,,,
1400,1.04,-1.5500,0.0000,0.0300,
1420,1.04,-1.5200,,,
1440,1.04,-1.4900,,,
1460,1.04,-1.4600,,,
1480,1.04,-1.4300,,,
1500,1.04,-1.4000,0.0000,0.0200,
1520,1.04,-1.3800,,,
1540,1.04,-1.3600,,,
1560,1.04,-1.3400,,,
1580,1.04,-1.3200,,,
1600,1.04,-1.3000,-0.2080,0.2600,
