f,Re,Im,,,
200,0.75,-5.9000,-0.0100,0.3400,-5.5600
220,0.74,-5.4000,,,
240,0.73,-5.0000,,,
260,0.72,-4.6000,,,
280,0.71,-4.4000,,,
300,0.7,-4.2000,-0.0100,0.2000,-4.0000
320,0.69,-3.9000,,,
340,0.68,-3.7000,,,
360,0.67,-3.6500,,,
380,0.66,-3.4000,,,
400,0.65,-3.2000,-0.0100,0.1400,-3.0600
420,0.64,-3.0000,,,
440,0.63,-2.8500,,,
460,0.62,-2.7000,,,
480,0.61,-2.6000,,,
500,0.6,-2.5000,-0.0100,0.1000,-2.4000
520,0.59,-2.4000,,,
540,0.58,-2.3000,,,
560,0.57,-2.2000,,,
580,0.56,-2.1000,,,
600,0.55,-2.0000,-0.0100,0.0600,-1.9400
620,0.54,-1.9400,,,
640,0.53,-1.8800,,,
660,0.52,-1.8200,,,
680,0.51,-1.7600,,,
700,0.5,-1.7000,-0.0100,0.0600,-1.6400
720,0.49,-1.6400,,,
740,0.48,-1.5800,,,
760,0.47,-1.5200,,,
780,0.46,-1.4600,,,
800,0.45,-1.4000,0.0000,0.0400,-1.3600
820,0.426,-1.3600,,,
840,0.432,-1.3200,,,
860,0.438,-1.2800,,,
880,0.444,-1.2400,,,
900,0.45,-1.2000,0.0000,0.0400,-1.1600
920,0.45,-1.1600,,,
940,0.45,-1.1200,,,
960,0.45,-1.0800,,,
980,0.45,-1.0400,,,
1000,0.45,-1.0000,0.0100,0.0300,-0.9700
1020,0.46,-0.9700,,,
1040,0.47,-0.9400,,,
1060,0.48,-0.9100,,,
1080,0.49,-0.8800,,,
1100,0.5,-0.8500,0.0000,0.0300,-0.8200
1120,0.5,-0.8200,,,
1140,0.5,-0.7900,,,
1160,0.5,-0.7600,,,
1180,0.5,-0.7300,,,
1200,0.5,-0.7000,-0.0040,0.0200,-0.6800
1220,0.496,-0.6800,,,
1240,0.492,-0.6600,,,
1260,0.488,-0.6400,,,
1280,0.484,-0.6200,,,
1300,0.48,-0.6000,-0.0160,0.0100,-0.5900
1320,0.464,-0.5900,,,
1340,0.448,-0.5800,,,
1360,0.432,-0.5700,,,
1380,0.416,-0.5600,,,
1400,0.4,-0.5500,0.0100,0.0300,-0.5200
1420,0.41,-0.5200,,,
1440,0.42,-0.4900,,,
1460,0.43,-0.4600,,,
1480,0.44,-0.4300,,,
1500,0.45,-0.4000,0.0100,0.0400,-0.3600
1520,0.46,-0.3600,,,
1540,0.47,-0.3200,,,
1560,0.48,-0.2800,,,
1580,0.49,-0.2400,,,
1600,0.5,-0.2000,-0.1000,0.0400,
